quizzes,solutions
082400370043267089090385000005003060301020507020500800000654030430892750058001690,682419375543267189197385426875143962361928547924576813719654238436892751258731694
103000549500498306000100008091060034200709001450080290800007000904823005375000902,183276549527498316649135728791562834238749651456381297812957463964823175375614982
000096008054100000091000653540820730039000280028067049983000160000001320200670000,372596418654138972891742653546829731739415286128367549983254167467981325215673894
168090003305008620290006100004900081830000097970001500009200046016700902700060815,168592473345178629297346158654927381831654297972831564589213746416785932723469815
023040001060009800591002467600037050009601200080290006956100748007900020200070610,823746591764519832591382467612837954479651283385294176956123748147968325238475619
504032001710600000369051002400017008003000500800320007600140753000006084100580906,584732691712698345369451872456917238273864519891325467628149753935276184147583926
002701060500006000008000047000040900080020010001030000460000100000900003090304700,342751869579486231618293547736145982984627315251839674463572198127968453895314726
300008920400200030000309080043000500700050003006000290030705000010004009085900004,361548927498271635572369481843192576729856143156437298934715862217684359685923714
006000009004713000020060710003600087700000006860004300037080020000321500200000800,176258439984713652325469718543692187719835246862174395437586921698321574251947863
056100000100000059000240600000590706060000090207061000008013000740000001000007580,456189273182736459973245618814592736365874192297361845528413967749658321631927584
050400003004003870070006200000020050300000007010090000008200060036500900200004030,859472613624153879173986245987321456362845197415697382548239761736518924291764538
